Product_Name,Original Price,Ratings,Number of Reviews
"Psychology, 6e",₹679,4.4 out of 5 stars,159
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
Dark Psychology Secrets & Manipulation,₹159,4.2 out of 5 stars,332
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
The Psychology Book: Big Ideas Simply Explained,₹896,4.5 out of 5 stars,"4,255"
"Dark Psychology and Manipulation: The Dark Games That Manipulators Play and How to Turn the Tables on Them. (Psychology, Relationships and Self-Improvement Book 3)",₹0,4.0 out of 5 stars,137
"Psychology, 6e",₹679,4.4 out of 5 stars,159
Psychology 5th Edition,₹669,4.5 out of 5 stars,"2,290"
Introducing Psychology: A Graphic Guide (Graphic Guides),₹0,4.1 out of 5 stars,922
Psychopathology of Everyday Life by Sigmund Freud – A Masterpiece on Parapraxes | Psychoanalysis | Unconscious Mind | Masterful Exploration of Dream Analysis | Symbolic Behavior | Neurosis | Freud's Theories | Psychological Phenomena,₹148,4.2 out of 5 stars,984
The Power of Your Subconscious Mind,₹99,4.5 out of 5 stars,"81,119"
The Time Machine,₹99,4.4 out of 5 stars,"4,520"
A Concise Textbook of Human Psychology: 1,₹299,4.2 out of 5 stars,383
The Power of Your Subconscious Mind,₹99,4.5 out of 5 stars,"81,119"
Influence : The Psychology of Persuasion (New and Expanded),₹558,4.6 out of 5 stars,"4,649"
Games People Play (new),₹343,4.2 out of 5 stars,"4,562"
Criminal Psychology,₹425,4.4 out of 5 stars,135
Human Psychology : Learners Mindset,₹213,4.0 out of 5 stars,157
"Human Psychology: 4 Books in 1. How to Analyze People + Manipulation Techniques + Dark Psychology + Enneagram: Powerful Guides to Learn Persuasion, Mind Control, Body Language and People's Behaviour",₹0,4.3 out of 5 stars,74
"Courage To Be Disliked, The: How to free yourself, change your life and achieve real happiness (Courage To series)",₹334,4.5 out of 5 stars,"12,676"
THE POWER OF YOUR SUBCONSCIOUS MIND,₹115,4.5 out of 5 stars,"81,119"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
