Book Title,Original Price,Discount Price,Discount Percentage,Product Ratings,Reviews
"The psychology of money  - Paperback, Morgan housel boo...",₹299,₹398,24% off,4.5,"(17,008)"
Together With CUET UG Entrance Exam Books 2024 Psycholo...,₹299,N/A,N/A,N/A,N/A
Power of Your Subconscious Mind  - The Subconscious Cod...,₹145,₹250,42% off,4.5,"(55,629)"
"Develop Self-Confidence, Improve Public Speaking",₹156,₹195,20% off,4.4,"(3,811)"
Who Will Cry When You Die?,₹262,₹263,N/A,4.5,"(26,458)"
Psychology,₹830,₹850,2% off,4.5,"(1,476)"
The Power Of Positive Thinking,₹199,N/A,N/A,4.4,"(12,390)"
Phychology Of Money Book Rich Dad,₹299,₹891,66% off,4.2,"(9,024)"
The Psychology of Money  - Morgen Housel,₹319,₹399,20% off,4.5,"(17,008)"
The Power of Habit  - why we do what we do and how to c...,₹231,₹599,61% off,4.4,"(5,221)"
How to Stop Worrying and Start Living  - The First and ...,₹134,₹195,31% off,4.3,"(1,056)"
The Power of Your Subconscious Mind,₹306,₹395,22% off,4.5,"(1,632)"
The Art Of Seduction  - The art of seduction: Robert Gr...,₹259,₹799,67% off,4.4,(684)
influence,₹282,₹549,48% off,4.4,"(1,066)"
Psychology (Adaptation) Four Colour : Indian Subcontine...,₹749,N/A,N/A,4.5,"(2,701)"
Psychology Class 11 CBSE (2023-24),₹278,₹396,29% off,4.5,(382)
The Psychology Of Money - Hindi Edition (Dhan -Sampatti...,₹295,₹298,1% off,4.1,(375)
Mind Games : The Dual Facets Of Manipulation And Dark P...,₹199,₹300,33% off,N/A,N/A
The Psychology of Money,₹230,₹299,23% off,4.4,(150)
From the Diary of a Psychologist,₹280,N/A,N/A,4.5,(166)
The Miracles of Your Mind,₹207,₹245,15% off,4.4,"(1,213)"
The Power of Positive Thinking,₹643,₹699,8% off,4.4,"(12,390)"
Aakhiri Kitaab Jo Zindagi Badal De,₹335,₹357,6% off,4.4,"(2,074)"
Quiet,₹224,₹599,62% off,4.4,"(1,916)"
Rich Dad Poor Dad,₹260,N/A,N/A,4.5,"(1,975)"
Ikigai (??????),₹170,₹200,15% off,4.4,(487)
Man's Search For Meaning,₹119,₹299,60% off,4.4,"(14,514)"
Attitude is Everything,₹170,₹185,8% off,4.5,(995)
The Power Of Your Subconscious Mind (Bengali),₹189,₹199,5% off,4.3,"(1,052)"
As a Man Thinketh,₹230,N/A,N/A,N/A,N/A
"Dark Psychology: Prabhavan, Prerna, Dhokha aur Gupt, NL...",₹168,₹175,4% off,3.9,(23)
INTRODUCTION TO PSYCHOLOGY,₹470,N/A,N/A,4.7,(35)
Ego is the Enemy,₹260,₹499,47% off,4.4,(945)
Think and Grow Rich,₹284,₹345,17% off,4.5,"(72,752)"
Ego is the Enemy  - T,₹155,"₹1,452",89% off,4.4,(945)
"Think And Grow Rich  - Magic Formula for Success, Wealt...",₹131,₹385,65% off,4.5,"(72,752)"
As a man thinketh,₹126,₹140,10% off,4.4,"(19,406)"
Think and Grow Rich,₹287,₹299,4% off,4.5,"(72,752)"
You Can Heal Your Life  - Hindi Translation of Internat...,₹365,₹400,8% off,4.4,"(2,088)"
The Monk Who Sold His Ferrari,₹399,₹450,11% off,4.5,"(33,478)"
"The psychology of money  - Paperback, Morgan housel boo...",₹299,₹398,24% off,4.5,"(17,008)"
Phychology Of Money Book Rich Dad,₹299,₹891,66% off,4.2,"(9,024)"
Man's Search For Meaning,₹559,₹910,38% off,4.4,"(14,514)"
Swayam Ki Awaaz,₹249,₹299,16% off,4.6,(152)
You Can Heal Your Life,₹340,₹499,31% off,4.5,"(3,253)"
Jeet Aapki  - Success,₹143,₹399,64% off,4.5,"(10,653)"
The Power of Your Subconscious Mind,₹306,₹395,22% off,4.5,"(1,632)"
The Psychology Of Money - Hindi Edition (Dhan -Sampatti...,₹295,₹298,1% off,4.1,(375)
Think and Grow Rich,₹299,₹799,62% off,4.5,"(72,752)"
Think and Grow Rich,₹869,N/A,N/A,4.5,"(72,752)"
How to Stop Worrying and Start Living  - The First and ...,₹134,₹195,31% off,4.3,"(1,056)"
The First Minute,₹238,"₹2,122",88% off,4.2,(36)
The Concise 33 Strategies of War,₹204,₹399,48% off,4.4,(204)
How to Win Friends & Influence People  - The First and ...,₹149,₹150,N/A,4.5,"(16,518)"
The Power of Your Subconscious Mind (Bengali),₹191,₹199,4% off,4.3,"(1,052)"
NCERT Manovigyan Ka Parichaya-class 11,₹189,₹210,10% off,4.3,(264)
Mind Games : The Dual Facets Of Manipulation And Dark P...,₹199,₹300,33% off,N/A,N/A
The Psychology of Money,₹486,₹599,18% off,4.5,"(17,008)"
Shiksha Manovigyan,₹89,₹120,25% off,3.7,(12)
You Can Heal Your Life,₹180,₹300,40% off,4.4,"(2,088)"
Believe in Yourself,₹204,₹245,16% off,4.4,"(29,617)"
Think and Grow Rich,₹175,N/A,N/A,4.5,"(72,752)"
Think Like a Monk,N/A,N/A,N/A,4.7,"(16,742)"
As a Man Thinketh,₹126,₹140,10% off,4.4,"(19,406)"
The Monk Who Sold His Ferrari  - Monk Sold his Ferrari,₹240,₹255,5% off,4.5,"(33,478)"
Aapka Bhavishya Aapke Haath Mein,₹255,₹335,23% off,4.5,"(2,319)"
As a Man Thinketh,₹213,₹250,14% off,4.4,"(19,406)"
The Monk Who Sold His Ferrari,₹189,₹225,16% off,4.5,(467)
Mind Positive Life Posititve (মাইন্ড পজেটিভ লাইফ পজেটিভ...,₹99,₹175,43% off,4.3,(267)
The Power of Your Subconscious Mind,₹239,₹399,40% off,4.5,"(65,460)"
MPC-002: Life Span Psychology (IGNOU Study Guide Book),₹212,₹350,39% off,N/A,N/A
"Child Psychology and Development Paperback – Import, 13...",₹399,₹450,11% off,4.7,(14)
As A Man Thinketh,₹521,N/A,N/A,4.4,"(19,406)"
As a Man Thinketh,₹521,N/A,N/A,4.4,"(19,406)"
As a Man Thinketh,₹125,N/A,N/A,4.4,"(19,406)"
The Almanack Of Naval Ravikant,₹322,₹399,19% off,4.5,"(2,457)"
Believe in Yourself,₹272,₹345,21% off,4.4,"(29,617)"
Positive Thinking,₹211,₹300,29% off,4.6,(14)
The Myth of Normal,₹596,₹799,25% off,4.8,(39)
Jab Socho Bada Socho,₹250,N/A,N/A,4.2,(131)
"The psychology of money  - Paperback, Morgan housel boo...",₹299,₹398,24% off,4.5,"(17,008)"
Phychology Of Money Book Rich Dad,₹299,₹891,66% off,4.2,"(9,024)"
Think and Grow Rich,₹213,₹450,52% off,4.5,"(72,752)"
